cohort_year,months_after_hire,n_retained,retention_rate
2018,3,86,1.0
2018,6,86,1.0
2018,12,86,1.0
2018,18,86,1.0
2018,24,86,1.0
2018,36,86,1.0
2019,3,188,1.0
2019,6,188,1.0
2019,12,188,1.0
2019,18,188,1.0
2019,24,188,1.0
2019,36,188,1.0
2020,3,160,1.0
2020,6,160,1.0
2020,12,160,1.0
2020,18,160,1.0
2020,24,160,1.0
2020,36,160,1.0
2021,3,181,1.0
2021,6,181,1.0
2021,12,181,1.0
2021,18,181,1.0
2021,24,181,1.0
2021,36,181,1.0
2022,3,210,1.0
2022,6,210,1.0
2022,12,210,1.0
2022,18,210,1.0
2022,24,210,1.0
2023,3,175,1.0
2023,6,175,1.0
2023,12,175,1.0
2023,18,161,0.92
