employee_id,community_id,department,job_level,engagement_score
EMP00001,0,Engineering,1,4.2
EMP00002,1,Engineering,2,3.9
EMP00003,2,Engineering,1,2.7
EMP00004,3,Engineering,3,3.0
EMP00005,4,Engineering,3,3.1
EMP00006,5,Engineering,2,2.7
EMP00007,6,Engineering,3,3.5
EMP00008,7,Engineering,3,3.6
EMP00009,8,Engineering,1,4.4
EMP00010,9,Engineering,2,4.0
EMP00011,10,Engineering,2,2.4
EMP00012,11,Engineering,1,3.9
EMP00013,12,Engineering,2,3.8
EMP00014,13,Engineering,3,3.1
EMP00015,14,Engineering,1,2.9
EMP00016,15,Engineering,1,2.8
EMP00017,16,Engineering,2,2.3
EMP00018,17,Engineering,4,2.8
EMP00019,18,Engineering,2,2.7
EMP00020,19,Engineering,3,2.4
EMP00021,20,Engineering,5,2.8
EMP00022,21,Engineering,1,4.1
EMP00023,22,Engineering,1,4.7
EMP00024,23,Engineering,1,4.7
EMP00025,24,Engineering,2,3.5
EMP00026,25,Engineering,1,4.6
EMP00027,26,Engineering,2,4.2
EMP00028,27,Engineering,1,4.7
EMP00029,28,Engineering,4,3.8
EMP00030,29,Engineering,4,3.6
EMP00031,30,Engineering,1,3.9
EMP00032,6,Engineering,1,4.1
EMP00033,31,Engineering,2,3.3
EMP00034,32,Engineering,4,3.3
EMP00035,33,Engineering,1,1.8
EMP00036,34,Engineering,1,3.2
EMP00037,35,Engineering,1,5.0
EMP00038,36,Engineering,1,4.0
EMP00039,37,Engineering,2,3.6
EMP00040,38,Engineering,2,3.3
EMP00041,39,Engineering,5,3.5
EMP00042,40,Engineering,3,3.5
EMP00043,41,Engineering,1,3.5
EMP00044,42,Engineering,4,3.3
EMP00045,43,Engineering,2,2.4
EMP00046,44,Engineering,2,3.9
EMP00047,45,Engineering,3,3.0
EMP00048,46,Engineering,3,4.3
EMP00049,47,Engineering,2,3.0
EMP00050,48,Engineering,2,2.7
EMP00051,49,Engineering,1,3.6
EMP00052,50,Engineering,3,4.5
EMP00053,51,Engineering,3,3.7
EMP00054,52,Engineering,2,2.8
EMP00055,53,Engineering,2,3.2
EMP00056,54,Engineering,5,2.1
EMP00057,55,Engineering,1,2.4
EMP00058,56,Engineering,1,3.3
EMP00059,57,Engineering,1,3.9
EMP00060,58,Engineering,2,3.2
EMP00061,59,Engineering,1,2.5
EMP00062,6,Engineering,2,4.1
EMP00063,60,Engineering,4,2.7
EMP00064,61,Engineering,3,2.5
EMP00065,62,Engineering,1,3.1
EMP00066,63,Engineering,2,3.7
EMP00067,64,Engineering,2,3.7
EMP00068,65,Engineering,2,4.3
EMP00069,66,Engineering,1,1.7
EMP00070,58,Engineering,3,3.7
EMP00071,67,Engineering,2,2.6
EMP00072,68,Engineering,2,3.2
EMP00073,69,Engineering,3,3.7
EMP00074,70,Engineering,1,1.9
EMP00075,18,Engineering,1,3.1
EMP00076,71,Engineering,1,3.3
