community_id,n_members,departments,avg_engagement,avg_level,dept_diversity,is_silo,silo_risk
0,1,Engineering,4.2,1.0,1,True,False
1,1,Engineering,3.9,2.0,1,True,False
2,1,Engineering,2.7,1.0,1,True,False
3,1,Engineering,3.0,3.0,1,True,False
4,2,Engineering,3.05,2.5,1,True,False
5,2,Engineering,2.9000000000000004,2.5,1,True,False
6,5,Engineering,3.72,1.8,1,True,False
7,1,Engineering,3.6,3.0,1,True,False
8,1,Engineering,4.4,1.0,1,True,False
9,1,Engineering,4.0,2.0,1,True,False
10,1,Engineering,2.4,2.0,1,True,False
11,1,Engineering,3.9,1.0,1,True,False
12,1,Engineering,3.8,2.0,1,True,False
13,1,Engineering,3.1,3.0,1,True,False
14,1,Engineering,2.9,1.0,1,True,False
15,1,Engineering,2.8,1.0,1,True,False
16,1,Engineering,2.3,2.0,1,True,False
17,1,Engineering,2.8,4.0,1,True,False
18,2,Engineering,2.9000000000000004,1.5,1,True,False
19,2,Engineering,2.9,2.5,1,True,False
20,1,Engineering,2.8,5.0,1,True,False
21,1,Engineering,4.1,1.0,1,True,False
22,1,Engineering,4.7,1.0,1,True,False
23,1,Engineering,4.7,1.0,1,True,False
24,1,Engineering,3.5,2.0,1,True,False
25,1,Engineering,4.6,1.0,1,True,False
26,1,Engineering,4.2,2.0,1,True,False
27,1,Engineering,4.7,1.0,1,True,False
28,1,Engineering,3.8,4.0,1,True,False
29,2,Engineering,3.3,2.5,1,True,False
30,1,Engineering,3.9,1.0,1,True,False
31,1,Engineering,3.3,2.0,1,True,False
32,1,Engineering,3.3,4.0,1,True,False
33,1,Engineering,1.8,1.0,1,True,False
34,1,Engineering,3.2,1.0,1,True,False
35,1,Engineering,5.0,1.0,1,True,False
36,1,Engineering,4.0,1.0,1,True,False
37,1,Engineering,3.6,2.0,1,True,False
38,2,Engineering,3.2,3.0,1,True,False
39,2,Engineering,3.3,3.5,1,True,False
40,1,Engineering,3.5,3.0,1,True,False
41,1,Engineering,3.5,1.0,1,True,False
42,1,Engineering,3.3,4.0,1,True,False
43,1,Engineering,2.4,2.0,1,True,False
44,1,Engineering,3.9,2.0,1,True,False
45,1,Engineering,3.0,3.0,1,True,False
46,1,Engineering,4.3,3.0,1,True,False
47,1,Engineering,3.0,2.0,1,True,False
48,1,Engineering,2.7,2.0,1,True,False
49,3,Engineering,3.4333333333333336,1.6666666666666667,1,True,False
50,3,Engineering,3.766666666666667,2.3333333333333335,1,True,False
51,1,Engineering,3.7,3.0,1,True,False
52,2,Engineering,3.25,1.5,1,True,False
53,2,Engineering,3.7,2.5,1,True,False
54,1,Engineering,2.1,5.0,1,True,False
55,1,Engineering,2.4,1.0,1,True,False
56,1,Engineering,3.3,1.0,1,True,False
57,1,Engineering,3.9,1.0,1,True,False
58,2,Engineering,3.45,2.5,1,True,False
59,1,Engineering,2.5,1.0,1,True,False
60,1,Engineering,2.7,4.0,1,True,False
61,1,Engineering,2.5,3.0,1,True,False
62,1,Engineering,3.1,1.0,1,True,False
63,1,Engineering,3.7,2.0,1,True,False
64,1,Engineering,3.7,2.0,1,True,False
65,1,Engineering,4.3,2.0,1,True,False
66,1,Engineering,1.7,1.0,1,True,False
67,1,Engineering,2.6,2.0,1,True,False
68,1,Engineering,3.2,2.0,1,True,False
69,2,Engineering,3.3,3.0,1,True,False
70,1,Engineering,1.9,1.0,1,True,False
71,1,Engineering,3.3,1.0,1,True,False
72,1,Engineering,4.6,1.0,1,True,False
73,1,Engineering,4.4,4.0,1,True,False
74,1,Engineering,3.5,1.0,1,True,False
75,1,Engineering,2.0,1.0,1,True,False
76,1,Engineering,2.8,2.0,1,True,False
77,4,Engineering,3.425,1.75,1,True,False
78,1,Engineering,3.9,2.0,1,True,False
79,2,Engineering,2.55,2.0,1,True,False
80,5,Engineering,3.0,1.8,1,True,False
81,1,Engineering,4.4,1.0,1,True,False
82,1,Engineering,2.3,1.0,1,True,False
83,1,Engineering,2.3,3.0,1,True,False
84,1,Engineering,2.4,3.0,1,True,False
85,1,Engineering,3.7,1.0,1,True,False
86,1,Engineering,1.6,4.0,1,True,False
87,1,Engineering,3.6,3.0,1,True,False
88,1,Engineering,3.6,1.0,1,True,False
89,1,Engineering,2.8,1.0,1,True,False
90,1,Engineering,1.6,3.0,1,True,False
91,1,Engineering,4.9,3.0,1,True,False
92,1,Engineering,3.0,3.0,1,True,False
93,1,Engineering,3.1,3.0,1,True,False
94,1,Engineering,3.0,1.0,1,True,False
95,1,Engineering,2.8,3.0,1,True,False
96,2,Engineering,3.5999999999999996,2.5,1,True,False
97,1,Engineering,2.4,2.0,1,True,False
98,1,Engineering,2.4,3.0,1,True,False
99,2,Engineering,3.4,1.0,1,True,False
100,1,Engineering,3.0,1.0,1,True,False
101,1,Engineering,3.9,1.0,1,True,False
102,1,Engineering,2.1,3.0,1,True,False
103,1,Engineering,3.4,4.0,1,True,False
104,1,Engineering,2.4,2.0,1,True,False
105,1,Engineering,3.4,2.0,1,True,False
106,1,Engineering,3.6,1.0,1,True,False
107,1,Engineering,2.9,3.0,1,True,False
108,1,Engineering,3.1,2.0,1,True,False
109,1,Engineering,4.4,1.0,1,True,False
110,1,Engineering,3.5,1.0,1,True,False
111,1,Engineering,4.8,4.0,1,True,False
112,1,Engineering,3.9,2.0,1,True,False
113,2,Engineering,3.5,3.0,1,True,False
114,1,Engineering,2.5,3.0,1,True,False
115,1,Engineering,2.1,2.0,1,True,False
116,1,Engineering,2.7,2.0,1,True,False
117,1,Engineering,2.0,1.0,1,True,False
118,2,Engineering,3.7,1.5,1,True,False
119,1,Engineering,2.8,2.0,1,True,False
120,1,Engineering,3.6,3.0,1,True,False
121,1,Engineering,4.1,1.0,1,True,False
122,1,Engineering,2.9,3.0,1,True,False
123,1,Engineering,3.6,1.0,1,True,False
124,1,Engineering,3.8,5.0,1,True,False
125,1,Engineering,3.9,2.0,1,True,False
126,1,Engineering,3.8,1.0,1,True,False
127,1,Engineering,3.4,3.0,1,True,False
128,1,Engineering,4.5,3.0,1,True,False
129,1,Engineering,4.1,2.0,1,True,False
130,1,Engineering,3.9,2.0,1,True,False
131,1,Engineering,2.1,4.0,1,True,False
