employee_id,department,job_level,tenure_years,monthly_salary,engagement_score,age,gender,education,salary_vs_dept_avg,latest_rating,avg_rating,rating_trend,avg_sentiment,pct_negative_review,absent_rate,avg_hours_worked,no_show_count,absence_worsening,influence_score,in_degree_weighted_norm,betweenness_norm,network_role,is_isolated,avg_completion_rate,n_trainings_completed,avg_assessment_score
EMP00001,Engineering,1,1.56,16787219,4.2,45,P,S2,0.8647552824997662,5,5.0,-1.0721261933235726e-15,0.1909,0.0,0.022900763358778626,7.483206106870228,2,0.014918414918414918,0.0092,0.0,0.0,Information Broker,1,0.84,1,57.3
EMP00002,Engineering,2,4.95,16497967,3.9,45,P,S2,0.849855125721349,3,3.5,-0.9999999999999998,-0.10115,0.5,0.03435114503816794,7.696183206106871,1,-0.046153846153846156,0.0092,0.0,0.0,Information Broker,1,0.8,1,85.6
EMP00003,Engineering,1,4.02,15853064,2.7,35,P,S2,0.8166344191856241,3,3.5,-0.9999999999999998,0.0,0.0,0.019083969465648856,7.827099236641221,0,-0.00023310023310023353,0.0092,0.0,0.0,Information Broker,1,0.8333333333333334,2,87.76666666666667
EMP00004,Engineering,3,4.86,21984461,3.0,32,L,D3,1.1324793453078852,3,3.5,-0.9999999999999998,0.03484999999999999,0.5,0.019083969465648856,7.474045801526718,1,0.03006993006993007,0.0092,0.0,0.0,Information Broker,1,0.88,1,92.7
EMP00005,Engineering,3,4.03,31024041,3.1,26,L,S1,1.598132682920222,4,3.5,0.9999999999999996,-0.10115,0.5,0.022900763358778626,7.767175572519084,0,0.045454545454545456,0.0092,0.0,0.0,Information Broker,1,0.8566666666666668,3,85.10000000000001
EMP00006,Engineering,2,5.37,16529890,2.7,27,L,S2,0.851499566225952,4,3.5,0.9999999999999996,-0.11315,0.5,0.022900763358778626,7.743511450381679,0,0.030303030303030304,0.0092,0.0,0.0,Information Broker,1,0.89,1,48.7
EMP00007,Engineering,3,4.48,20362375,3.5,43,L,S1,1.048921286217281,4,3.5,0.9999999999999996,-0.4496,1.0,0.030534351145038167,7.794274809160305,0,0.014918414918414918,0.0092,0.0,0.0,Information Broker,1,0.8200000000000001,1,75.7
EMP00008,Engineering,3,4.51,22729239,3.6,26,P,S2,1.1708448845785417,4,3.5,0.9999999999999996,-0.2263,1.0,0.003816793893129771,7.987786259541985,0,-0.015384615384615385,0.0092,0.0,0.0,Information Broker,1,0.8025,3,83.89999999999999
EMP00009,Engineering,1,4.08,14393530,4.4,35,L,S1,0.7414498554715262,5,4.5,0.9999999999999991,0.0,0.0,0.030534351145038167,7.749236641221374,0,-0.00023310023310023353,0.0092,0.0,0.0,Information Broker,1,0.76,1,83.75
EMP00010,Engineering,2,1.51,20473412,4.0,44,L,S1,1.0546411039132868,4,4.0,-3.14018491736755e-16,0.1909,0.0,0.003816793893129771,8.024045801526718,0,0.0,0.0092,0.0,0.0,Information Broker,1,0.86,3,78.9
