department,months_since_hire,avg_rating,n_reviews
Customer Success,7.391590013140604,5.0,1
Customer Success,7.555847568988173,3.0,1
Customer Success,7.752956636005256,3.0,1
Customer Success,10.446780551905388,4.0,1
Customer Success,10.611038107752956,3.0,1
Customer Success,13.403416557161629,5.0,1
Customer Success,13.567674113009199,3.0,1
Customer Success,13.764783180026281,3.0,1
Customer Success,16.45860709592641,3.0,1
Customer Success,16.62286465177398,4.0,1
Data & Analytics,7.555847568988173,2.0,1
Data & Analytics,8.902759526938238,4.0,1
Data & Analytics,8.968462549277266,4.0,1
Data & Analytics,9.264126149802891,4.0,1
Data & Analytics,10.052562417871222,4.0,1
Data & Analytics,13.567674113009199,3.0,1
Data & Analytics,14.914586070959263,3.0,1
Data & Analytics,14.98028909329829,4.0,1
Data & Analytics,15.275952693823916,4.0,1
Data & Analytics,16.064388961892245,5.0,1
Engineering,6.504599211563732,3.0,1
Engineering,6.636005256241787,5.0,1
Engineering,6.767411300919842,4.0,1
Engineering,6.83311432325887,4.0,2
Engineering,6.931668856767411,3.0,1
Engineering,7.030223390275952,4.0,1
Engineering,7.457293035479632,4.0,1
Engineering,7.752956636005256,5.0,1
Engineering,8.508541392904073,3.0,1
Engineering,8.705650459921156,4.0,2
Engineering,8.771353482260183,3.0,1
Engineering,8.968462549277266,4.0,1
Engineering,9.461235216819974,3.0,1
Engineering,10.11826544021025,3.0,1
Engineering,10.38107752956636,3.0,1
Engineering,10.64388961892247,3.0,1
Engineering,10.90670170827858,3.0,1
Engineering,12.516425755584756,4.0,1
Engineering,12.64783180026281,5.0,1
Engineering,12.779237844940866,5.0,1
Engineering,12.844940867279893,3.5,2
Engineering,12.943495400788436,3.0,1
Engineering,13.042049934296976,4.0,1
Engineering,13.469119579500656,3.0,1
Engineering,13.764783180026281,5.0,1
Engineering,14.520367936925098,3.0,1
Engineering,14.71747700394218,4.0,2
Engineering,14.783180026281208,4.0,1
Engineering,14.98028909329829,4.0,1
Engineering,15.473061760840999,3.0,1
Engineering,16.130091984231274,4.0,1
Engineering,16.392904073587385,4.0,1
Engineering,16.655716162943495,3.0,1
Engineering,16.918528252299605,3.0,1
Finance,7.030223390275952,3.0,1
Finance,7.424441524310118,4.0,1
Finance,8.804204993429698,5.0,1
Finance,9.362680683311432,5.0,1
Finance,10.413929040735873,2.0,1
Finance,10.972404730617608,2.0,1
Finance,13.042049934296976,3.0,1
Finance,13.436268068331144,3.0,1
Finance,14.816031537450723,5.0,1
Finance,15.374507227332456,4.0,1
Finance,16.4257555847569,2.0,1
Finance,16.98423127463863,2.0,1
HR,9.42838370565046,4.0,1
HR,10.939553219448094,4.0,1
HR,15.440210249671484,5.0,1
HR,16.95137976346912,4.0,1
IT Infrastructure,7.293035479632063,4.0,1
IT Infrastructure,7.3258869908015765,3.0,1
IT Infrastructure,7.818659658344283,3.0,1
IT Infrastructure,8.705650459921156,5.0,1
IT Infrastructure,8.902759526938238,3.0,1
IT Infrastructure,9.231274638633376,4.0,1
IT Infrastructure,9.756898817345597,3.0,1
IT Infrastructure,10.676741130091983,5.0,1
IT Infrastructure,10.808147174770038,4.0,1
IT Infrastructure,10.90670170827858,4.0,1
IT Infrastructure,11.202365308804204,5.0,1
IT Infrastructure,13.304862023653088,4.0,1
IT Infrastructure,13.337713534822601,4.0,1
IT Infrastructure,13.830486202365309,4.0,1
IT Infrastructure,14.71747700394218,4.0,1
IT Infrastructure,14.914586070959263,4.0,1
IT Infrastructure,15.243101182654401,3.0,1
IT Infrastructure,15.768725361366622,3.0,1
IT Infrastructure,16.68856767411301,5.0,1
IT Infrastructure,16.819973718791065,3.0,1
IT Infrastructure,16.918528252299605,3.0,1
IT Infrastructure,17.21419185282523,4.0,1
Legal,6.5374507227332455,4.0,1
Legal,7.621550591327201,5.0,1
Legal,10.578186596583443,3.0,1
Legal,11.498028909329829,4.0,1
Legal,12.54927726675427,5.0,1
Legal,13.633377135348226,5.0,1
Legal,16.590013140604466,4.0,1
Legal,17.509855453350852,5.0,1
Marketing,6.9973718791064385,2.0,1
Marketing,7.621550591327201,3.0,1
Marketing,8.377135348226018,3.0,1
Marketing,8.5742444152431,4.0,1
Marketing,10.052562417871222,3.0,1
Marketing,13.009198423127463,3.0,1
Marketing,13.633377135348226,4.0,1
Marketing,14.388961892247043,3.0,1
Marketing,14.586070959264125,4.0,1
Marketing,16.064388961892245,4.0,1
Operations,6.800262812089356,3.0,1
Operations,6.83311432325887,3.0,1
Operations,9.494086727989487,4.0,1
Operations,11.005256241787121,5.0,1
Operations,11.202365308804204,5.0,1
Operations,12.81208935611038,3.0,1
Operations,12.844940867279893,4.0,1
Operations,15.505913272010512,5.0,1
Operations,17.017082785808146,4.0,1
Operations,17.21419185282523,5.0,1
Product,7.35873850197109,2.0,1
Product,11.005256241787121,4.0,1
Product,13.370565045992116,1.0,1
Product,17.017082785808146,3.0,1
Research,7.7858081471747695,5.0,1
Research,8.409986859395532,3.0,1
Research,13.797634691195794,5.0,1
Research,14.421813403416557,3.0,1
Sales,6.701708278580814,4.0,1
Sales,7.063074901445466,2.0,1
Sales,7.7858081471747695,3.5,2
Sales,7.9500657030223385,3.0,1
Sales,8.147174770039422,3.0,1
Sales,8.869908015768726,4.0,1
Sales,10.348226018396845,3.0,1
Sales,10.775295663600525,2.0,1
Sales,11.300919842312746,3.0,1
Sales,12.713534822601838,3.0,1
Sales,13.074901445466491,2.0,1
Sales,13.797634691195794,3.5,2
Sales,13.961892247043364,4.0,1
Sales,14.159001314060447,3.0,1
Sales,14.88173455978975,3.0,1
Sales,16.36005256241787,3.0,1
Sales,16.78712220762155,3.0,1
Sales,17.31274638633377,4.0,1
