topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,dominant_topic,employee_id,review_cycle
0.9821906,0.00405422,0.004607868,0.003924556,0.0023841178,0.0028386014,topic_0,EMP00001,2024-H1
0.0026295425,0.0040542143,0.0046078577,0.0039245505,0.9819452,0.0028385974,topic_4,EMP00001,2024-H2
0.0033281401,0.005131308,0.0058320393,0.9790983,0.0030175087,0.0035927352,topic_3,EMP00002,2024-H1
0.0028273717,0.98238266,0.004954522,0.0042198077,0.0025634794,0.0030521546,topic_1,EMP00002,2024-H2
0.0033281404,0.005131309,0.0058320463,0.9790983,0.003017509,0.0035927356,topic_3,EMP00003,2024-H1
0.0033281394,0.0051313075,0.0058320384,0.9790983,0.0030175082,0.0035927347,topic_3,EMP00003,2024-H2
0.0040444727,0.0062357457,0.9756505,0.0060363114,0.0036669825,0.004366018,topic_2,EMP00004,2024-H1
0.004044493,0.0062357774,0.97565037,0.006036342,0.003667001,0.00436604,topic_2,EMP00004,2024-H2
0.0028273729,0.98238266,0.0049545243,0.0042198095,0.0025634805,0.003052156,topic_1,EMP00005,2024-H1
0.0033281404,0.005131309,0.0058320463,0.9790983,0.003017509,0.0035927356,topic_3,EMP00005,2024-H2
0.0030573867,0.004713862,0.005357587,0.9807987,0.002772026,0.0033004563,topic_3,EMP00006,2024-H1
0.0040444722,0.0062357453,0.9756505,0.006036311,0.003666982,0.0043660174,topic_2,EMP00006,2024-H2
0.0024576357,0.9846865,0.004306625,0.0036679825,0.0022282526,0.0026530237,topic_1,EMP00007,2024-H1
0.0036515417,0.005629927,0.9780161,0.0054498683,0.0033107256,0.003941848,topic_2,EMP00007,2024-H2
0.0040444722,0.0062357453,0.9756505,0.006036311,0.003666982,0.0043660174,topic_2,EMP00008,2024-H1
0.0040444722,0.0062357453,0.9756505,0.006036311,0.003666982,0.0043660174,topic_2,EMP00008,2024-H2
0.9821906,0.0040542204,0.004607867,0.003924556,0.002384118,0.0028386016,topic_0,EMP00009,2024-H1
0.98085076,0.004359227,0.0049545257,0.0042198086,0.00256348,0.0030521553,topic_0,EMP00009,2024-H2
0.0024576124,0.0037891334,0.004306577,0.0036679476,0.98312575,0.0026529985,topic_4,EMP00010,2024-H1
0.98219043,0.004054266,0.0046079187,0.0039246003,0.0023841448,0.0028386337,topic_0,EMP00010,2024-H2
0.0033281446,0.005131316,0.005832047,0.004967203,0.0030175126,0.9777238,topic_5,EMP00011,2024-H1
0.9595472,0.009208893,0.010466459,0.00891437,0.0054153665,0.006447696,topic_0,EMP00011,2024-H2
0.0028275223,0.0043594586,0.0049547916,0.98224235,0.002563616,0.003052317,topic_3,EMP00012,2024-H1
0.0036518022,0.005630329,0.9780145,0.0054502576,0.0033109619,0.003942129,topic_2,EMP00012,2024-H2
0.0036515258,0.0056299022,0.9780162,0.0054498445,0.0033107111,0.0039418307,topic_2,EMP00013,2024-H1
0.003651542,0.0056299274,0.9780161,0.0054498687,0.0033107258,0.0039418484,topic_2,EMP00013,2024-H2
0.0040444722,0.0062357453,0.9756505,0.006036311,0.003666982,0.0043660174,topic_2,EMP00014,2024-H1
0.0028273729,0.98238266,0.0049545243,0.0042198095,0.0025634805,0.003052156,topic_1,EMP00014,2024-H2
0.0024576061,0.9846867,0.0043065674,0.0036679385,0.002228226,0.0026529918,topic_1,EMP00015,2024-H1
0.0024576054,0.9846867,0.004306566,0.0036679371,0.002228225,0.0026529909,topic_1,EMP00015,2024-H2
0.0033281401,0.005131308,0.0058320393,0.9790983,0.0030175087,0.0035927352,topic_3,EMP00016,2024-H1
0.0040444722,0.0062357453,0.9756505,0.006036311,0.003666982,0.0043660174,topic_2,EMP00016,2024-H2
0.003651559,0.0056299535,0.19509465,0.005449894,0.0033107412,0.78686315,topic_5,EMP00017,2024-H1
