employee_id,date,status,hours_worked
EMP00001,2024-01-01,present,7.8
EMP00001,2024-01-02,present,5.4
EMP00001,2024-01-03,present,8.4
EMP00001,2024-01-04,present,8.6
EMP00001,2024-01-05,present,7.6
EMP00001,2024-01-08,present,7.5
EMP00001,2024-01-09,present,8.0
EMP00001,2024-01-10,present,7.7
EMP00001,2024-01-11,present,7.9
EMP00001,2024-01-12,present,7.8
EMP00001,2024-01-15,present,8.2
EMP00001,2024-01-16,present,8.2
EMP00001,2024-01-17,present,7.8
EMP00001,2024-01-18,present,7.6
EMP00001,2024-01-19,present,8.6
EMP00001,2024-01-22,present,5.4
EMP00001,2024-01-23,present,8.3
EMP00001,2024-01-24,present,8.3
EMP00001,2024-01-25,present,8.1
EMP00001,2024-01-26,present,8.1
EMP00001,2024-01-29,present,8.1
EMP00001,2024-01-30,present,8.0
EMP00001,2024-01-31,personal_leave,0.0
EMP00001,2024-02-01,present,7.3
EMP00001,2024-02-02,present,7.8
EMP00001,2024-02-05,present,7.9
EMP00001,2024-02-06,present,6.0
EMP00001,2024-02-07,present,7.2
EMP00001,2024-02-08,present,8.1
EMP00001,2024-02-09,present,8.4
EMP00001,2024-02-12,present,7.8
EMP00001,2024-02-13,present,8.4
EMP00001,2024-02-14,present,7.4
EMP00001,2024-02-15,present,7.5
EMP00001,2024-02-16,present,8.1
EMP00001,2024-02-19,present,7.8
EMP00001,2024-02-20,present,8.3
EMP00001,2024-02-21,present,8.2
EMP00001,2024-02-22,present,7.8
EMP00001,2024-02-23,present,6.2
EMP00001,2024-02-26,present,7.8
EMP00001,2024-02-27,present,8.2
EMP00001,2024-02-28,present,8.3
EMP00001,2024-02-29,present,7.8
EMP00001,2024-03-01,present,7.2
EMP00001,2024-03-04,present,4.4
EMP00001,2024-03-05,present,8.2
EMP00001,2024-03-06,present,7.8
EMP00001,2024-03-07,present,7.8
EMP00001,2024-03-08,present,7.5
EMP00001,2024-03-11,present,7.5
EMP00001,2024-03-12,present,8.4
EMP00001,2024-03-13,present,8.2
EMP00001,2024-03-14,present,7.7
EMP00001,2024-03-15,present,8.0
EMP00001,2024-03-18,present,8.1
EMP00001,2024-03-19,present,8.8
EMP00001,2024-03-20,present,7.5
EMP00001,2024-03-21,present,8.1
EMP00001,2024-03-22,present,8.4
EMP00001,2024-03-25,present,4.3
EMP00001,2024-03-26,present,7.7
EMP00001,2024-03-27,present,7.8
EMP00001,2024-03-28,present,8.3
EMP00001,2024-03-29,present,6.9
EMP00001,2024-04-01,present,8.2
EMP00001,2024-04-02,present,5.5
EMP00001,2024-04-03,present,8.2
EMP00001,2024-04-04,present,6.9
EMP00001,2024-04-05,present,7.6
EMP00001,2024-04-08,present,7.7
EMP00001,2024-04-09,present,6.5
EMP00001,2024-04-10,present,7.9
EMP00001,2024-04-11,present,7.2
EMP00001,2024-04-12,present,8.0
EMP00001,2024-04-15,present,8.1
EMP00001,2024-04-16,present,6.7
EMP00001,2024-04-17,present,7.5
EMP00001,2024-04-18,present,9.1
EMP00001,2024-04-19,present,8.4
EMP00001,2024-04-22,present,8.5
EMP00001,2024-04-23,present,7.9
EMP00001,2024-04-24,present,7.7
EMP00001,2024-04-25,present,7.8
EMP00001,2024-04-26,present,7.4
EMP00001,2024-04-29,present,8.8
EMP00001,2024-04-30,present,7.9
EMP00001,2024-05-01,present,8.7
EMP00001,2024-05-02,present,7.8
EMP00001,2024-05-03,present,8.2
EMP00001,2024-05-06,present,8.1
EMP00001,2024-05-07,present,7.3
EMP00001,2024-05-08,present,6.5
EMP00001,2024-05-09,present,7.8
EMP00001,2024-05-10,present,7.4
EMP00001,2024-05-13,present,8.3
EMP00001,2024-05-14,present,8.0
EMP00001,2024-05-15,present,4.0
EMP00001,2024-05-16,present,8.0
EMP00001,2024-05-17,present,7.0
EMP00001,2024-05-20,present,7.6
EMP00001,2024-05-21,present,7.6
EMP00001,2024-05-22,present,8.5
EMP00001,2024-05-23,present,8.0
EMP00001,2024-05-24,present,6.8
EMP00001,2024-05-27,present,7.8
EMP00001,2024-05-28,present,8.3
EMP00001,2024-05-29,present,7.9
EMP00001,2024-05-30,present,7.9
EMP00001,2024-05-31,present,8.1
EMP00001,2024-06-03,present,4.4
