interaction_id,sender_id,receiver_id,channel,interaction_date,response_time_hours,sentiment_raw
INT00000001,EMP00090,EMP00156,meeting,2024-02-01,,-0.48531055659615097
INT00000002,EMP00698,EMP00752,meeting,2024-10-04,,0.09495965274871336
INT00000003,EMP00840,EMP00816,jira_comment,2024-10-12,,0.4381723620904099
INT00000004,EMP00644,EMP00635,slack,2024-03-23,,-0.18766478024869968
INT00000005,EMP00859,EMP00846,meeting,2024-09-12,,0.46676240160220905
INT00000006,EMP00355,EMP00727,email,2024-10-11,1.8132787571930626,0.20963321930922352
INT00000007,EMP00547,EMP00500,slack,2024-05-13,,-0.05367281872146118
INT00000008,EMP00968,EMP00936,email,2024-06-20,1.375333445751173,-0.1520469430887584
INT00000009,EMP00331,EMP00278,slack,2024-02-28,,-0.25135855110876115
INT00000010,EMP00833,EMP00842,meeting,2024-10-30,,0.13500574274221847
INT00000011,EMP00899,EMP00880,email,2024-10-30,0.08455902563915124,0.18673581960699526
INT00000012,EMP00200,EMP00094,meeting,2024-09-14,,-0.04111179628783865
INT00000013,EMP00506,EMP00525,email,2024-06-09,5.503395414069774,-0.40486093148474145
INT00000014,EMP00669,EMP00518,slack,2024-08-19,,0.3133679739378565
INT00000015,EMP00795,EMP00806,slack,2024-12-24,,0.04260870253551554
INT00000016,EMP00215,EMP00033,email,2024-03-26,3.6992889404910954,0.14272772082116958
INT00000017,EMP00435,EMP00440,meeting,2024-12-29,,0.007196038083928491
INT00000018,EMP00665,EMP00290,email,2024-03-01,0.21869247565411815,-0.2587518936767119
INT00000019,EMP00697,EMP00719,slack,2024-12-08,,0.23395935280898322
INT00000020,EMP00153,EMP00034,email,2024-05-19,2.124078437074186,-0.406200330187409
INT00000021,EMP00960,EMP00937,jira_comment,2024-05-13,,-0.17164371660801822
INT00000022,EMP00909,EMP00914,meeting,2024-12-19,,0.32125467054012596
INT00000023,EMP00790,EMP00817,email,2024-06-12,0.5612118478810363,-0.4181961269577046
INT00000024,EMP00903,EMP00917,email,2024-07-30,2.7379317412598456,0.12163885231416086
INT00000025,EMP00493,EMP00534,slack,2024-02-21,,0.028193311758092726
INT00000026,EMP00585,EMP00580,email,2024-05-31,3.660340600483864,0.35053337377437355
INT00000027,EMP00661,EMP00605,slack,2024-10-16,,-0.17797278242165745
INT00000028,EMP00171,EMP00089,slack,2024-05-06,,0.033333190870368
INT00000029,EMP00152,EMP00192,meeting,2024-01-24,,0.699019267507536
INT00000030,EMP00083,EMP00089,slack,2024-12-08,,-0.5396138842193927
INT00000031,EMP00808,EMP00802,slack,2024-11-06,,0.05776273407508443
INT00000032,EMP00439,EMP00009,email,2024-11-23,13.616357186773893,-0.4024048834113071
INT00000033,EMP00666,EMP00657,slack,2024-09-23,,0.13908235644186576
INT00000034,EMP00727,EMP00728,email,2024-11-30,1.1518753589837307,-0.11756781936072597
INT00000035,EMP00547,EMP00349,meeting,2024-12-17,,0.37947190386227325
INT00000036,EMP00318,EMP00310,email,2024-07-06,5.357701073840513,0.23382166044462416
INT00000037,EMP00534,EMP00493,jira_comment,2024-02-25,,0.5737273769231305
INT00000038,EMP00892,EMP00208,slack,2024-11-22,,0.4918005225120474
INT00000039,EMP00023,EMP00155,slack,2024-11-19,,0.5607267975987976
INT00000040,EMP00095,EMP00002,email,2024-12-07,0.5610784996932198,0.617099716234989
INT00000041,EMP00892,EMP00871,slack,2024-09-19,,0.5216145475433893
INT00000042,EMP00875,EMP00930,jira_comment,2024-10-10,,0.09846343998397862
INT00000043,EMP00434,EMP00362,email,2024-04-11,8.269848327993353,-0.5150516303093068
INT00000044,EMP00132,EMP00186,slack,2024-09-10,,-0.1634457100786252
INT00000045,EMP00865,EMP00748,slack,2024-10-28,,-0.045250830000073544
INT00000046,EMP00132,EMP00027,slack,2024-06-27,,0.5012194322328231
INT00000047,EMP00522,EMP00270,email,2024-08-05,5.2016451064934275,-0.22531642167000995
INT00000048,EMP00556,EMP00581,jira_comment,2024-06-01,,0.663053383384501
INT00000049,EMP00182,EMP00947,slack,2024-08-19,,0.19468150107710214
INT00000050,EMP00785,EMP00804,meeting,2024-10-29,,-0.5441867089215965
INT00000051,EMP00335,EMP00302,meeting,2024-10-01,,-0.05883182820982211
INT00000052,EMP00604,EMP00683,slack,2024-06-04,,-0.42731851740698934
INT00000053,EMP00275,EMP00297,email,2024-12-29,6.847713679125032,0.9715201507721221
INT00000054,EMP00747,EMP00719,email,2024-08-04,1.884414796490056,-0.19605712352847124
INT00000055,EMP00924,EMP00134,email,2024-02-26,0.8028822909184107,-0.31246874251099455
INT00000056,EMP00285,EMP00318,email,2024-01-21,0.8845046440386951,0.2414615567635417
INT00000057,EMP00516,EMP00532,email,2024-12-25,11.732587876578199,-0.11646741006285422
