employee_id,training_name,category,training_date,duration_hours,completion_rate,assessment_score
EMP00001,Code of Conduct,compliance,2024-06-09,16,0.84,57.3
EMP00002,Change Management,leadership,2024-11-09,40,0.8,85.6
EMP00003,Code of Conduct,compliance,2024-10-11,24,0.76,92.0
EMP00003,Communication,soft_skills,2024-06-20,16,0.93,93.1
EMP00003,Time Management,soft_skills,2024-10-30,24,0.81,78.2
EMP00004,Strategic Thinking,leadership,2024-03-30,4,0.88,92.7
EMP00005,Negotiation,soft_skills,2024-07-21,40,0.89,89.9
EMP00005,Cybersecurity Basics,technical,2024-04-12,40,0.87,83.9
EMP00005,Communication,soft_skills,2024-02-02,40,0.81,81.5
EMP00006,Negotiation,soft_skills,2024-05-13,40,0.89,48.7
EMP00007,Time Management,soft_skills,2024-06-13,24,0.85,87.0
EMP00007,Python for Data,technical,2024-10-03,4,0.79,64.4
EMP00008,SQL Advanced,technical,2024-04-19,40,0.94,64.6
EMP00008,Cybersecurity Basics,technical,2024-09-01,16,0.63,97.8
EMP00008,Data Privacy,compliance,2024-01-04,40,0.82,94.6
EMP00008,SQL Advanced,technical,2024-08-12,40,0.82,78.6
EMP00009,Data Privacy,compliance,2024-10-22,40,0.71,78.8
EMP00009,Change Management,leadership,2024-12-28,4,0.81,88.7
EMP00010,Anti-Fraud,compliance,2024-01-12,4,0.96,89.9
EMP00010,Time Management,soft_skills,2024-07-01,16,0.82,55.6
EMP00010,Cloud Computing,technical,2024-06-01,4,0.8,91.2
EMP00011,Cloud Computing,technical,2024-12-04,8,0.66,79.2
EMP00011,Anti-Fraud,compliance,2024-08-19,4,0.72,90.6
EMP00011,Time Management,soft_skills,2024-01-07,8,0.92,35.1
EMP00012,SQL Advanced,technical,2024-07-12,8,0.98,36.9
EMP00012,Anti-Fraud,compliance,2024-12-03,4,0.57,86.3
EMP00012,Leadership Fundamental,leadership,2024-06-05,16,0.78,79.6
EMP00013,Health & Safety,compliance,2024-11-06,24,0.5,91.7
EMP00013,Communication,soft_skills,2024-01-19,8,0.74,72.7
EMP00013,Code of Conduct,compliance,2024-02-19,24,0.61,83.2
EMP00013,Leadership Fundamental,leadership,2024-06-01,16,0.82,46.9
EMP00014,Data Privacy,compliance,2024-03-14,40,0.69,84.5
EMP00014,Python for Data,technical,2024-08-20,4,0.85,97.0
EMP00015,Anti-Fraud,compliance,2024-10-19,4,0.93,60.6
EMP00015,Leadership Fundamental,leadership,2024-07-27,16,0.62,44.4
EMP00015,Strategic Thinking,leadership,2024-02-02,24,0.89,75.4
EMP00015,Strategic Thinking,leadership,2024-04-24,24,0.69,92.5
EMP00015,Strategic Thinking,leadership,2024-06-23,16,0.72,98.6
EMP00016,Cloud Computing,technical,2024-12-19,16,0.96,62.0
EMP00017,SQL Advanced,technical,2024-12-29,24,0.77,59.7
EMP00017,Health & Safety,compliance,2024-01-11,4,0.75,82.2
EMP00017,Health & Safety,compliance,2024-08-09,24,0.98,58.9
EMP00018,Leadership Fundamental,leadership,2024-07-19,24,0.79,90.8
EMP00018,SQL Advanced,technical,2024-01-26,24,0.96,96.6
EMP00018,Leadership Fundamental,leadership,2024-04-02,24,0.87,61.7
EMP00018,Strategic Thinking,leadership,2024-06-17,16,0.76,52.0
EMP00018,Data Privacy,compliance,2024-12-20,16,0.84,95.9
EMP00019,SQL Advanced,technical,2024-06-01,16,0.95,65.9
EMP00019,Presentation,soft_skills,2024-07-19,40,0.39,78.7
EMP00019,Presentation,soft_skills,2024-10-18,40,0.77,79.4
EMP00019,Python for Data,technical,2024-09-28,24,0.95,36.6
EMP00019,SQL Advanced,technical,2024-04-23,8,0.87,74.3
EMP00020,Change Management,leadership,2024-08-25,4,0.95,69.1
EMP00021,Coaching Skills,leadership,2024-06-20,24,0.85,66.9
EMP00022,Python for Data,technical,2024-05-28,24,0.66,88.7
EMP00022,Data Privacy,compliance,2024-05-15,16,0.81,88.3
EMP00023,Change Management,leadership,2024-07-12,8,0.72,84.6
EMP00023,Cloud Computing,technical,2024-06-12,4,0.84,60.2
EMP00023,Time Management,soft_skills,2024-10-04,16,0.94,93.1
EMP00024,Code of Conduct,compliance,2024-12-20,24,0.87,90.4
EMP00024,Data Privacy,compliance,2024-01-28,24,0.97,90.5
EMP00024,Change Management,leadership,2024-12-06,24,0.78,77.9
EMP00024,Change Management,leadership,2024-06-10,4,0.66,72.9
EMP00024,Time Management,soft_skills,2024-10-11,40,0.99,78.6
EMP00025,Health & Safety,compliance,2024-03-09,16,0.96,80.3
EMP00025,Anti-Fraud,compliance,2024-12-30,8,0.71,89.6
EMP00025,Strategic Thinking,leadership,2024-01-07,40,0.59,81.7
EMP00026,Leadership Fundamental,leadership,2024-03-19,16,0.79,93.0
EMP00026,Python for Data,technical,2024-08-19,16,0.88,87.1
EMP00026,Time Management,soft_skills,2024-06-04,24,0.69,77.5
EMP00026,Health & Safety,compliance,2024-12-25,16,0.98,79.2
EMP00026,Presentation,soft_skills,2024-06-28,8,0.94,72.8
EMP00027,Python for Data,technical,2024-07-04,16,0.64,97.9
EMP00028,Code of Conduct,compliance,2024-06-29,16,0.81,73.3
EMP00028,Cybersecurity Basics,technical,2024-09-14,24,0.73,92.7
EMP00028,Leadership Fundamental,leadership,2024-12-29,40,0.81,89.5
EMP00028,Health & Safety,compliance,2024-02-11,24,0.79,76.5
EMP00028,Anti-Fraud,compliance,2024-11-04,24,0.78,84.3
EMP00029,Cybersecurity Basics,technical,2024-02-22,8,0.74,63.8
EMP00029,Cloud Computing,technical,2024-11-23,24,0.93,58.8
EMP00030,Python for Data,technical,2024-08-14,24,0.76,61.1
EMP00031,Presentation,soft_skills,2024-10-03,4,0.71,86.5
EMP00031,Code of Conduct,compliance,2024-05-24,24,0.93,93.4
EMP00031,Cloud Computing,technical,2024-05-18,24,0.61,76.0
EMP00031,Data Privacy,compliance,2024-09-28,40,0.8,37.3
